City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
175,kutum,14.2,24.6667,286.51,26,62,1.87,SD,1707371071
176,coquimbo,-29.9533,-71.3436,292.0,94,100,1.54,CL,1707370958
177,ketchikan,55.3422,-131.6461,273.42,74,0,1.54,US,1707371072
178,island harbour,50.724,-1.2758,280.42,95,100,4.02,GB,1707371001
179,norman gardens,-23.3224,150.5393,302.44,51,75,4.63,AU,1707371072
180,port douglas,-16.4833,145.4667,301.55,77,77,4.38,AU,1707371072
181,tutoia,-2.7619,-42.2744,300.97,78,72,6.13,BR,1707371072
182,richards bay,-28.783,32.0377,298.47,74,78,3.98,ZA,1707371072
183,springs,-26.25,28.4,297.47,37,66,3.07,ZA,1707371072
184,hamilton,39.1834,-84.5333,279.93,55,0,4.12,US,1707370792
185,lebu,-37.6167,-73.65,286.96,79,98,7.92,CL,1707371073
186,kegen,43.0197,79.2203,268.36,70,100,0.85,KZ,1707371073
187,dourbali,11.8091,15.8632,289.59,20,5,3.8,TD,1707371073
188,arno,60.1167,18.6333,268.59,77,23,1.56,SE,1707371073
189,copan,14.8333,-89.15,286.76,97,1,0.83,HN,1707371073
190,santa ana,33.7456,-117.8678,284.29,91,100,8.23,US,1707371073
191,port lincoln,-34.7333,135.8667,293.81,57,3,6.63,AU,1707370905
192,namibe,-15.1961,12.1522,298.81,75,98,3.1,AO,1707371073
193,claveria,18.6074,121.0832,299.35,75,18,3.9,PH,1707371074
194,palmer,42.1584,-72.3287,271.88,77,100,0.0,US,1707371074
195,qaqortoq,60.7167,-46.0333,267.52,81,100,4.46,GL,1707370883
196,devils lake,48.1128,-98.8651,274.19,98,100,4.12,US,1707371074
197,kudahuvadhoo,2.6708,72.8944,300.9,71,97,7.35,MV,1707371074
198,broome,42.2506,-75.833,273.26,77,58,0.99,US,1707371074
199,paracuru,-3.41,-39.0306,301.54,83,67,4.83,BR,1707371074
200,san luis de la loma,17.2706,-100.8939,296.78,81,0,1.71,MX,1707371074
201,kapa'a,22.0752,-159.319,295.96,77,20,8.23,US,1707371075
202,dwarka,22.2394,68.9678,297.1,52,90,8.41,IN,1707371075
203,lihue,21.9789,-159.3672,295.63,77,20,8.23,US,1707371075
204,fale old settlement,-9.3852,-171.2468,301.06,83,98,7.75,TK,1707371075
205,whitehorse,60.7161,-135.0538,254.67,80,75,1.03,CA,1707371075
206,weno,7.4515,151.8468,302.12,79,75,5.14,FM,1707371075
207,whitby,54.4877,-0.615,274.03,70,98,3.76,GB,1707371075
208,touros,-5.1989,-35.4608,299.75,81,41,4.65,BR,1707371075
209,timbiqui,2.7717,-77.6654,297.3,94,68,1.23,CO,1707371076
210,shalqar,47.8333,59.6,273.58,97,72,10.69,KZ,1707371076
211,alofi,-19.0595,-169.9187,300.81,81,9,5.38,NU,1707371076
212,pitimbu,-7.4706,-34.8086,301.48,83,85,3.48,BR,1707371076
213,saint-pierre,-21.3393,55.4781,301.97,70,100,1.54,RE,1707371076
214,ust-nera,64.5667,143.2,246.88,99,100,0.66,RU,1707371076
215,hawaiian paradise park,19.5933,-154.9731,293.93,89,40,1.54,US,1707370822
216,tual,-5.6667,132.75,301.11,78,100,8.19,ID,1707371076
217,rouyn-noranda,48.2398,-79.0288,273.2,100,100,2.57,CA,1707371077
218,geraldton,-28.7667,114.6,315.38,9,0,2.57,AU,1707371077
219,nagqu,31.5,92.0,269.33,11,0,11.26,CN,1707371077
220,badger,64.8,-147.5333,250.98,79,40,0.0,US,1707371077
221,sao gotardo,-19.3111,-46.0489,291.83,96,100,1.01,BR,1707371077
222,pisco,-13.7,-76.2167,297.18,88,0,3.09,PE,1707371077
223,acapulco de juarez,16.8634,-99.8901,299.05,78,0,1.54,MX,1707370915
224,outjo,-20.1167,16.15,295.68,59,99,0.53,NA,1707371077
225,i-n-salah,27.1935,2.4607,285.87,31,23,3.61,DZ,1707371078
226,jiangkou,25.4872,119.1986,282.78,83,99,5.91,CN,1707371078
227,amga,60.8953,131.9608,245.37,92,100,1.62,RU,1707371078
228,dembi dolo,8.5333,34.8,293.57,47,75,1.01,ET,1707371078
229,vorgashor,67.5833,63.95,268.15,85,100,6.18,RU,1707370971
230,cabo san lucas,22.8909,-109.9124,294.07,65,91,0.45,MX,1707370802
231,klyuchi,52.2667,79.1667,271.21,78,15,5.91,RU,1707371078
232,narayanpet,16.7333,77.5,304.64,34,24,1.01,IN,1707371078
233,kapuskasing,49.4169,-82.4331,274.15,93,100,2.57,CA,1707371078
234,siracusa,37.0881,15.2792,284.15,64,7,2.74,IT,1707371079
235,plesetsk,62.708,40.2916,253.52,94,100,4.19,RU,1707371079
236,punta arenas,-53.15,-70.9167,282.21,66,0,13.38,CL,1707371079
237,ponoka,52.6768,-113.5815,267.34,93,100,0.78,CA,1707371079
238,huzhou,30.8703,120.0933,278.85,50,39,2.0,CN,1707371079
239,mammoth lakes,37.6485,-118.9721,267.43,91,100,2.06,US,1707371079
240,queenstown,-31.8976,26.8753,290.52,72,34,1.42,ZA,1707371079
241,'alaqahdari dishu,30.4374,63.313,290.85,16,0,3.81,AF,1707370829
242,mimizan,44.2006,-1.2289,283.54,68,100,5.92,FR,1707371080
243,moalboal,9.9433,123.3992,302.01,68,63,2.79,PH,1707371080
244,codrington,-38.2667,141.9667,292.09,56,0,6.3,AU,1707371080
245,kerikeri,-35.2268,173.9474,297.54,72,16,1.55,NZ,1707371080
